form_title,form_slug,field_key,field_label,field_type,required,options,help_text,section
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","fromDate","From Date","text",TRUE,"","",""
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","toDate","To Date","text",TRUE,"","",""
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","managerName","Manager Name","text",TRUE,"","",""
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","managerSignature","Manager Signature","text",TRUE,"","",""
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","employeeName","Employee Name","text",TRUE,"","",""
"Agreement of Breaks Between Shifts Form","agreement-of-breaks-between-shifts-form","employeeSignature","Employee Signature","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","fromDate","From Date","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","toDate","To Date","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","managerFullName","Manager Full Name","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","managerSignature","Manager Signature","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","employeeFullName","Employee Full Name","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","employeePayrollNumber","Employee Payroll Number","text",TRUE,"","",""
"Agreement of Increased Part Time Hours Form","agreement-of-increased-part-time-hours-form","employeeSignature","Employee Signature","text",TRUE,"","",""
"Barcode Update Form","barcode-update-form","staffCode","Staff Code","text",TRUE,"","",""
"Barcode Update Form","barcode-update-form","location","Location","text",TRUE,"","",""
"Barcode Update Form","barcode-update-form","acumenCode","Acumen Code","text",TRUE,"","",""
"Barcode Update Form","barcode-update-form","description","Description","text",TRUE,"","",""
"Barcode Update Form","barcode-update-form","barcode","Barcode","text",TRUE,"","",""
"Camera Cage Voting Form","camera-cage-voting-form","doYouThinkThisProductOrInitiativeIsViableForTedsCameras","Do you think this product or initiative is viable for Ted's Camera's?","radio",TRUE,"Yes - this product is viable;No - this initiative is not viable","Please consider market demand and supplier availability",""
"Camera Cage Voting Form","camera-cage-voting-form","productLines","Please select what product line(s) would be most effective for Ted's Cameras to take on.","select",TRUE,"Leofoto product line;Smallrig product line;Kondor Blue product line","",""
"Camera Cage Voting Form","camera-cage-voting-form","viabilityNotes","Viability Notes","textarea",FALSE,"","Provide additional viability information if applicable",""
"Camera Cage Voting Form","camera-cage-voting-form","supplierNotes","Supplier Notes","textarea",FALSE,"","Provide additional supplier information if applicable",""
"Cash Register Till Variance Form","cash-register-till-variance-form","store","Store","text",TRUE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","teamMemberName","Team member name","text",TRUE,"","Submitted By",""
"Cash Register Till Variance Form","cash-register-till-variance-form","register","Register","text",TRUE,"","",""
"Cash Register Till Variance Form","cash-register-till-variance-form","varianceType","Variance Type","radio",TRUE,"Surplus (Over);Deficiency (Under)","",""
